"country","sex","age_group","age_mean","year_mean","years_post_int","outcome","mean","se","l","u"
"India","Male","65-69",67.5,12.5,"10-14 years","IHD",0.00887413077237913,0.0067944567232733,0,0.0228243393206556
"India","Male","65-69",67.5,17.5,"15-19 years","IHD",0.00887413077237913,0.0067944567232733,0,0.0228243393206556
"India","Male","65-69",67.5,22.5,"20-24 years","IHD",0.00887413077237913,0.0067944567232733,0,0.0228243393206556
"India","Male","65-69",67.5,27.5,"25-29 years","IHD",0.00887413077237913,0.0067944567232733,0,0.0228243393206556
"India","Male","70-74",72.5,2.5,"0-4 years","IHD",0.0019282800393616,0.00183792103871286,0,0.00585428049860078
"India","Male","70-74",72.5,7.5,"5-9 years","IHD",0.00330832359694391,0.00315329589975245,0,0.0100441086985798
"India","Male","70-74",72.5,12.5,"10-14 years","IHD",0.00378094125365019,0.00360376674257422,0,0.0114789813698055
"India","Male","70-74",72.5,17.5,"15-19 years","IHD",0.00378094125365019,0.00360376674257422,0,0.0114789813698055
"India","Male","70-74",72.5,22.5,"20-24 years","IHD",0.00378094125365019,0.00360376674257422,0,0.0114789813698055
"India","Male","70-74",72.5,27.5,"25-29 years","IHD",0.00378094125365019,0.00360376674257422,0,0.0114789813698055
"India","Male","75-79",77.5,2.5,"0-4 years","IHD",0.00134151150050106,0.00137451186813213,0,0.00433209834454928
"India","Male","75-79",77.5,7.5,"5-9 years","IHD",0.00230161286850673,0.00235823114630513,0,0.00743252166956985
"India","Male","75-79",77.5,12.5,"10-14 years","IHD",0.00263041470686482,0.00269512131006301,0,0.0084943104795084
"India","Male","75-79",77.5,17.5,"15-19 years","IHD",0.00263041470686482,0.00269512131006301,0,0.0084943104795084
"India","Male","75-79",77.5,22.5,"20-24 years","IHD",0.00263041470686482,0.00269512131006301,0,0.0084943104795084
"India","Male","75-79",77.5,27.5,"25-29 years","IHD",0.00263041470686482,0.00269512131006301,0,0.0084943104795084
"India","Male","80+",84.91,2.5,"0-4 years","IHD",0.000826671449416513,0.000943446858143657,0,0.00315102447303986
"India","Male","80+",84.91,7.5,"5-9 years","IHD",0.00141830885929304,0.00161865882524647,0,0.00540616943903898
"India","Male","80+",84.91,12.5,"10-14 years","IHD",0.00162092441062061,0.00184989580028169,0,0.0061784793589017
"India","Male","80+",84.91,17.5,"15-19 years","IHD",0.00162092441062061,0.00184989580028169,0,0.0061784793589017
"India","Male","80+",84.91,22.5,"20-24 years","IHD",0.00162092441062061,0.00184989580028169,0,0.0061784793589017
"India","Male","80+",84.91,27.5,"25-29 years","IHD",0.00162092441062061,0.00184989580028169,0,0.0061784793589017
"India","Male","35-39",37.5,2.5,"0-4 years","lung_cancer",0.0281637162917557,0.00107757651444438,0.0257557053561643,0.0301156089957688
"India","Male","35-39",37.5,7.5,"5-9 years","lung_cancer",0.0683975967085494,0.00261697153507921,0.0625495701506848,0.0731379075611527
"India","Male","35-39",37.5,12.5,"10-14 years","lung_cancer",0.0911967956113994,0.00348929538010562,0.0833994268675798,0.0975172100815369
"India","Male","35-39",37.5,17.5,"15-19 years","lung_cancer",0.10896675946215,0.00416919484755267,0.0996500504851597,0.116518725281248
"India","Male","35-39",37.5,22.5,"20-24 years","lung_cancer",0.117348817882315,0.00448990214351826,0.107315438984018,0.125481704149037
"India","Male","35-39",37.5,27.5,"25-29 years","lung_cancer",0.125395593965674,0.00479778114764522,0.114674211942922,0.134086163862113
"India","Male","40-44",42.5,2.5,"0-4 years","lung_cancer",0.0244475026308882,0.00110273724651144,0.0222268960202096,0.0264289913481556
"India","Male","40-44",42.5,7.5,"5-9 years","lung_cancer",0.0593725063893,0.0026780761700992,0.0539796046205092,0.0641846932740921
"India","Male","40-44",42.5,12.5,"10-14 years","lung_cancer",0.0791633418524,0.00357076822679893,0.0719728061606789,0.0855795910321228
"India","Male","40-44",42.5,17.5,"15-19 years","lung_cancer",0.0945885518456984,0.00426654291805019,0.0859969191258112,0.102255026049411
"India","Male","40-44",42.5,22.5,"20-24 years","lung_cancer",0.101864594295368,0.00459473852713097,0.0926120667508736,0.110120797283981
"India","Male","40-44",42.5,27.5,"25-29 years","lung_cancer",0.10884959504705,0.00490980631184853,0.0989626084709335,0.117671937669169
"India","Male","45-49",47.5,2.5,"0-4 years","lung_cancer",0.0355894618073597,0.000848328499735974,0.033771063583066,0.0370758979865394
"India","Male","45-49",47.5,7.5,"5-9 years","lung_cancer",0.0864315501035877,0.00206022635650166,0.0820154401303031,0.0900414665387387
"India","Male","45-49",47.5,12.5,"10-14 years","lung_cancer",0.115242066804784,0.00274696847533554,0.109353920173737,0.120055288718318
"India","Male","45-49",47.5,17.5,"15-19 years","lung_cancer",0.137697322468951,0.00328222336207372,0.130661853148767,0.143448414828873
"India","Male","45-49",47.5,22.5,"20-24 years","lung_cancer",0.148289424197332,0.00353470208223324,0.140712764929442,0.154482908277248
"India","Male","45-49",47.5,27.5,"25-29 years","lung_cancer",0.158457841856578,0.00377708165358638,0.150361640238889,0.165076021987688
"India","Male","50-54",52.5,2.5,"0-4 years","lung_cancer",0.0329719714519297,0.000936018647330184,0.0310658800993612,0.0346250165312368
"India","Male","50-54",52.5,7.5,"5-9 years","lung_cancer",0.0800747878118291,0.00227318814351616,0.0754457088127343,0.0840893258615751
"India","Male","50-54",52.5,12.5,"10-14 years","lung_cancer",0.106766383749106,0.00303091752468822,0.100594278416979,0.112119101148767
"India","Male","50-54",52.5,17.5,"15-19 years","lung_cancer",0.127570127641395,0.00362150071883702,0.120195369432052,0.133965837769666
"India","Male","50-54",52.5,22.5,"20-24 years","lung_cancer",0.13738321438304,0.0039000776972091,0.129441167080672,0.144270902213487
"India","Male","50-54",52.5,27.5,"25-29 years","lung_cancer",0.14680377765502,0.0041675115964463,0.138317132823346,0.154163764079554
"India","Male","55-59",57.5,2.5,"0-4 years","lung_cancer",0.0328157666548277,0.000931694640173211,0.0308538117875104,0.0345695661551627
"India","Male","55-59",57.5,7.5,"5-9 years","lung_cancer",0.0796954333045817,0.00226268698327779,0.0749306857696681,0.0839546606625377
"India","Male","55-59",57.5,12.5,"10-14 years","lung_cancer",0.106260577739442,0.00301691597770372,0.0999075810262241,0.11193954755005
"India","Male","55-59",57.5,17.5,"15-19 years","lung_cancer",0.126965763843083,0.00360477092924158,0.11937486703501,0.133751297624141
"India","Male","55-59",57.5,22.5,"20-24 years","lung_cancer",0.136732361061782,0.00388206100072169,0.128557549114627,0.144039858979844
"India","Male","55-59",57.5,27.5,"25-29 years","lung_cancer",0.146108294391733,0.00414825946934261,0.137372923911058,0.153916877881319
"India","Male","60-64",62.5,2.5,"0-4 years","lung_cancer",0.0306271416730432,0.00104360691191643,0.0284984153740634,0.0324368625700621
"India","Male","60-64",62.5,7.5,"5-9 years","lung_cancer",0.0743802012059622,0.0025344739289399,0.0692104373370114,0.0787752376701509
"India","Male","60-64",62.5,12.5,"10-14 years","lung_cancer",0.0991736016079495,0.00337929857191987,0.0922805831160152,0.105033650226868
"India","Male","60-64",62.5,17.5,"15-19 years","lung_cancer",0.118497869568322,0.0040377648377719,0.11026172614965,0.125499765896074
"India","Male","60-64",62.5,22.5,"20-24 years","lung_cancer",0.127613090304347,0.00434836213298512,0.118743397391931,0.135153594041926
"India","Male","60-64",62.5,27.5,"25-29 years","lung_cancer",0.136363702210931,0.00464653553638982,0.126885801784521,0.144421269061943
